Ticker,Name
^NQUSB5373AUDN,NQ US Bnchmk Broadline Rtlrs AU
S63Y.SW,SBI Sec CB Mixed Assets Y
^NQUSS8771GBP,NQ US Sm Cap Asset Managers GBP
^NQNAMCCADN,NASDAQ N America Mid Cap CAD NT
^NQDM7000AUD,NASDAQ Developed Utilities AUD
^NQG6000AUDN,NASDAQ Global Telecom AUD NTR I
^NQEMMEA2000AUDT,NASDAQ EM MEA Inds AUD TR Index
^NQASPA3500LMT,NASDAQ ASPA Food & Beverage Lg
^NQEMASIA9000EUR,NASDAQ EM Asia Tech EUR Index
^NQDMASIA6000LM,NASDAQ DM Asia Telecom Large Mi
^NQLA7000GBPN,NASDAQ Lat America Utilities GB
31651175.SG,
^NQASIA4000,The NASDAQ Asia Health Care Ind
^NQAU7000GBP,NASDAQ Australia Utilities GBP
4Q5W.DE,INAV DE.ESTX SE.DIV.30 EO
^SPAENAUP,S&P Agribusiness North America
SBFR2T.SW,SBI For AA T
^NQDMASPA5500GBPN,NASDAQ DM ASPA Media GBP NTR In
^NQDMXNASCAUDT,NASDAQ Developed ex North Ameri
WIAMERS1000.FGI,
^NQLA5000LM,NASDAQ Lat America Cnsmr Svcs L
ST13Y.SW,SBI AAA-BBB 1-3 Y
^NQDMASPA4000JPY,NASDAQ DM ASPA Health Care JPY
^NQG2300AUDT,NASDAQ Global Constr & Matls AU
SG71P.SW,SBI Dom Gov 7-10 P
^NQDMXUS2000AUDN,NASDAQ DM Ex US Industrials AUD
^NQLALMCADN,NASDAQ Lat America Large Mid Ca
^NQDMEU3300LMEUR,NASDAQ DM Europe Auto & Parts L
^NQG3300AUDN,NASDAQ Global Auto & Parts AUD
^NQEMMEA8500AUD,NASDAQ EM MEA Ins AUD Index
AEXSH.NX,
^NQNA8300JPYT,NASDAQ N America Banks JPY TR I
^NQLALCCADT,NASDAQ Lat America Large Cap CA
4MW2.DE,INAVISHSTXEU50UJPY
^NQNA8500T,The NASDAQ North America Insura
^SP500-25102010,S&P 500 Automobile Manufacturer
